source,target
3837,6426
448,1336
7690,5009
9944,1768
9765,5648
2436,2759
3761,2620
4806,8610
9233,9982
2400,6783
7876,7276
6378,5721
277,2661
2235,8592
3762,7746
7878,1578
3535,7507
9393,1329
1772,480
9503,1124
1606,5444
3823,8298
5,71
9373,1954
9932,8269
9159,5604
792,6945
3448,8306
2974,8406
788,2670
4031,1105
5233,2275
7777,8925
4473,5546
7647,6583
4135,584
4212,2496
48,5075
6773,7068
6242,836
6809,7792
8681,2843
835,6237
9226,748
8890,6710
1986,3842
5559,2936
2495,3179
8416,5759
8613,6236
2052,7943
268,9679
3161,1378
3757,6811
7520,8292
3528,8098
7208,9004
6661,5557
4813,1670
5536,6605
9767,2487
7568,25
9696,5413
8119,8724
21,8421
77,2665
5056,2938
6554,7881
1993,4675
5919,7303
8641,9248
2836,7791
3140,3514
2814,1407
1036,7753
3751,6426
3880,1887
5086,2199
7083,6997
2567,7416
9610,4563
8334,6972
1369,6641
8599,6966
8765,8202
737,724
5935,397
2925,7588
5405,8528
7310,6691
4600,9365
3736,7501
6643,5338
9026,2794
7251,9429
3489,8104
3919,6622
5089,9868
6715,8534
1113,4946
8141,8112
2091,3499
561,2253
8481,2944
4890,7798
7906,633
493,4473
3367,5771
4894,7494
4718,1574
995,1150
6027,4177
1907,4567
9104,1595
8424,5371
5971,2913
7319,6602
1157,9054
5082,2971
9557,7624
4216,3816
3839,4538
1816,307
1201,1359
6756,1275
4050,3970
9927,5019
3390,9115
4573,8592
7342,4746
6083,6040
387,3108
8980,7281
6218,775
4681,440
1197,5770
2727,6590
5313,2961
3259,3328
1684,8108
3695,2168
3334,2697
9417,5947
6719,3374
8206,3136
5851,6977
4791,4629
5645,4635
2050,8015
5807,6530
9138,9724
9263,155
6626,1163
3477,4324
3675,2113
758,4405
7167,3572
9585,1320
2101,5907
1526,6333
154,977
9429,5551
4062,1207
1306,759
5634,1005
6744,3638
6495,9098
7112,643
7674,5397
9439,9390
9006,7594
6311,6408
4986,8242
4995,9343
2605,9656
1059,1033
5536,1506
1952,4114
2051,4458
7821,7835
3274,158
3002,3415
6542,8062
6037,1246
7548,9436
1582,6575
2361,896
588,8422
616,8496
884,9354
2321,187
8463,5130
312,4853
3651,3558
3203,7816
939,337
1131,9424
5100,7657
340,6674
1488,1264
2528,9291
1412,9272
3921,2047
6021,5589
8275,7701
3462,273
8654,2886
2807,3901
1589,6730
5596,1558
246,9255
9654,4863
9078,5222
4030,669
3509,1409
6729,3228
8376,7900
4759,595
7953,4364
7971,1553
6589,6
3867,429
9383,8774
9362,1948
3711,1289
2349,3972
9392,6124
7695,6557
1812,6666
6564,3764
8338,6852
6194,1345
752,8966
4343,5430
6293,248
4844,6003
5744,8785
1623,319
1293,5584
5322,3141
274,5320
8328,815
2925,7981
4941,4355
1411,3975
5695,5303
7588,4697
9737,1372
8135,304
261,2690
6886,1405
971,7931
8891,1620
1584,2921
5843,5665
3610,2924
5081,6725
9467,1243
7192,3200
192,2834
3858,356
1132,76
3957,3458
3345,6942
1519,851
2581,2578
3558,737
8085,9701
828,3034
8246,134
8225,4588
6347,2537
8653,8423
614,1379
229,8983
3343,5076
9310,7961
9213,3427
9421,3773
3173,6283
7739,9086
34,2413
1681,4350
2145,2582
8414,5718
7857,1478
371,744
1989,599
8232,6670
9047,3814
7186,7479
8001,5760
4846,8166
2509,6591
691,9716
9806,6975
9950,3941
7204,460
6635,1583
9318,500
2597,6383
8207,8580
3179,1478
4251,728
1370,8059
7796,3202
7109,6282
558,4700
2768,698
5279,2180
7174,9147
7207,9635
2501,4076
3201,6825
7599,1220
2277,4214
9378,1086
2293,460
5740,4152
1103,4905
1255,8746
7921,1347
494,1022
996,7687
6267,3631
37,9794
8836,5309
5376,1963
3860,2114
4259,2096
1395,678
4835,8303
5409,1404
5027,7341
7601,1951
3958,940
61,9905
6697,6120
9640,5879
2581,6064
3927,8674
5970,5477
5709,6792
3452,6344
1244,1571
6121,15
4622,3819
5162,1927
6278,6794
5167,9055
3912,6440
1234,1524
523,564
6411,3778
5875,3992
5983,40
2704,3069
7839,8118
4752,7520
3382,1126
3306,6664
1413,372
5127,8218
4869,2195
5796,1458
2509,9000
1064,3318
2247,334
6184,6637
2825,2909
7361,4178
8568,7379
603,595
6347,8494
5298,7568
237,895
1622,3912
6516,7206
7393,9017
5117,8344
8165,5382
11,2469
312,8174
2320,1571
1435,3561
4862,6225
2086,8049
8941,1037
8991,4749
8777,3668
5170,3409
9364,3829
5109,3182
9300,8052
1833,959
6181,7491
3888,6564
4590,3197
6044,6746
9904,4461
7048,6110
4785,2113
7505,8015
3953,8295
8175,986
3624,1634
8045,4854
1689,7000
236,4976
1446,7947
3131,2124
9320,7133
5908,3862
3488,2073
6096,6659
1055,6782
3929,31
3492,5601
7526,150
6608,1389
9808,2159
247,5900
80,444
2355,7936
877,9057
1980,7290
3044,965
2150,7559
2831,8156
7602,4395
6655,4470
1646,1234
3861,6733
6084,9888
8930,5256
4616,5498
8788,9983
5750,9012
15,6726
9913,5285
9237,8634
255,6898
1993,4560
2911,3246
1687,8316
1486,1838
7108,5226
5485,8461
8119,8459
8835,2054
9134,9281
7850,3467
898,2562
2361,3239
9201,3724
4277,2913
3042,3254
865,680
8174,3844
3707,3955
2631,7714
7474,3186
1367,7114
772,599
3395,220
9952,4714
565,7405
5231,6331
2402,2005
5771,6504
3128,4142
2765,7681
1184,8392
3787,2013
2250,1330
9486,3525
7571,9283
4475,2891
674,2027
3705,1429
7411,2087
8266,8474
3607,3435
5799,2939
4380,2661
7445,9889
9752,1024
242,3056
5110,2865
4981,7238
7115,7181
9823,8659
3760,3983
2663,5943
2296,326
1596,6473
4501,5216
3115,8489
1465,5446
2004,2504
5430,9654
8367,6352
7408,8562
1339,4450
9368,3352
194,932
5748,3689
685,6566
9979,798
3728,8292
1098,4207
1796,642
3020,9884
8789,752
1008,9275
6903,2896
9998,1472
3357,2614
7550,1806
703,7773
7486,6585
1587,6664
8518,2266
6096,5749
171,5013
7411,1445
2003,3067
3986,6286
7716,6323
8746,5265
6819,7249
2247,8639
5004,9902
9943,981
1493,8744
6172,8851
4295,3892
8012,8698
5042,8477
5910,3033
9570,1098
9279,5428
540,7308
1441,3543
4422,5077
724,5797
7598,2354
403,5556
8761,2874
4876,1429
5498,3936
1984,5090
6478,6428
2319,2692
1028,4951
5712,9074
812,3681
4585,8121
4460,90
6867,4930
8,7335
1344,2704
7977,9367
8239,2313
2405,7323
6194,1106
6629,2834
9059,9363
5137,4107
8960,1645
4461,4459
3055,3422
8231,1009
7169,745
5432,2263
5170,3103
6842,3900
9484,9787
1411,5845
9362,2450
8500,5370
3251,7359
7884,2230
536,9962
9281,5652
6665,7654
16,1907
2134,8004
8826,1455
6584,8766
1569,4698
5244,5288
6898,7023
5008,5581
1238,6654
7708,9347
5635,8942
7400,4240
8065,4514
1571,842
9855,2417
9181,9235
667,5680
3257,272
6342,7267
180,9457
9364,756
3115,6882
3596,3060
371,5014
6472,1084
9943,5787
3722,7302
2244,974
9333,1867
9483,1070
5535,6473
1338,4299
1525,8316
909,6345
4180,8576
4850,9758
952,6327
2934,4028
3826,8514
8283,558
6493,5243
810,3639
9566,7491
386,1402
4082,1717
799,4497
4233,3305
9577,5983
9886,3802
4926,3237
6139,1938
3635,5590
1566,9115
830,8185
2576,4513
3983,2965
1230,1217
8613,935
9355,3029
7522,6588
912,6562
7476,811
1787,8991
5072,8371
6293,1022
5982,4378
2143,4489
5757,3287
430,8196
4805,2882
47,7394
9885,1546
6217,28
7066,5010
1947,8964
5717,4446
536,960
3299,6139
5016,3318
8945,8333
726,4992
7150,5084
6592,3988
7393,1196
5598,7050
9691,133
3482,2535
9712,1501
3607,6534
3688,7116
4628,4630
9730,4515
639,3043
2350,7482
5452,2445
6374,6286
9409,8165
8317,6413
1412,39
4574,4118
4618,7148
2883,1282
6622,4543
5299,7501
192,4989
904,5153
8517,513
4113,7705
3229,8553
2681,3440
5245,3831
2262,9343
3827,1437
431,1065
120,5005
4280,5384
8522,8897
6101,2498
7215,7727
5872,1144
9297,4128
3475,940
1041,4993
583,1713
5262,9777
9188,5473
7499,6356
3128,2106
3490,3628
2685,8381
3568,7550
4814,9172
5208,5510
5025,4408
1307,8231
7881,1835
4829,6983
